Subject,Text,Type
URGENT BUSINESS ASSISTANCE AND PARTNERSHIP,"URGENT BUSINESS ASSISTANCE AND PARTNERSHIP.


DEAR FRIEND,

I AM ( DR.) JAMES NGOLA, THE PERSONAL ASSISTANCE TO THE LATE CONGOLESE (PRESIDENT LAURENT KABILA) WHO WAS ASSASSINATED BY HIS BODY GUARD ON 16TH JAN. 2001.


THE INCIDENT OCCURRED IN OUR PRESENCE WHILE WE WERE HOLDING MEETING WITH HIS EXCELLENCY OVER THE FINANCIAL RETURNS FROM THE DIAMOND SALES IN THE AREAS CONTROLLED BY (D.R.C.) DEMOCRATIC REPUBLIC OF CONGO FORCES AND THEIR FOREIGN ALLIES ANGOLA AND ZIMBABWE, HAVING RECEIVED THE PREVIOUS DAY (USD$100M) ONE HUNDRED MILLION UNITED STATES DOLLARS, CASH IN THREE DIPLOMATIC BOXES ROUTED THROUGH ZIMBABWE.

MY PURPOSE OF WRITING YOU THIS LETTER IS TO SOLICIT FOR YOUR ASSISTANCE AS TO BE A COVER TO THE FUND AND ALSO COLLABORATION IN MOVING THE SAID FUND INTO YOUR BANK ACCOUNT THE SUM OF (USD$25M) TWENTY FIVE MILLION UNITED STATES DOLLARS ONLY, WHICH I DEPOSITED WITH A SECURITY COMPANY IN GHANA, IN A DIPLOMATIC BOX AS GOLDS WORTH (USD$25M) TWENTY FIVE MILLION UNITED STATES DOLLARS ONLY FOR SAFE KEEPING IN A SECURITY VAULT FOR ANY FURTHER INVESTMENT PERHAPS IN YOUR COUNTRY. 

YOU WERE INTRODUCED TO ME BY A RELIABLE FRIEND OF MINE WHO IS A TRAVELLER,AND ALSO A MEMBER OF CHAMBER OF COMMERCE AS A RELIABLE AND TRUSTWORTHY PERSON WHOM I CAN RELY ON AS FOREIGN PARTNER, EVEN THOUGH THE NATURE OF THE TRANSACTION WAS NOT REVEALED TO HIM FOR SECURITY REASONS.


THE (USD$25M) WAS PART OF A PROCEEDS FROM DIAMOND TRADE MEANT FOR THE LATE PRESIDENT LAURENT KABILA WHICH WAS DELIVERED THROUGH ZIMBABWE IN DIPLOMATIC BOXES. THE BOXES WERE KEPT UNDER MY CUSTODY BEFORE THE SAD EVENT THAT TOOK THE LIFE OF (MR. PRESIDENT).THE CONFUSION THAT ENSUED AFTER THE ASSASSINATION AND THE SPORADIC SHOOTING AMONG THE FACTIONS, I HAVE TO RUN AWAY FROM THE COUNTRY FOR MY DEAR LIFE AS I AM NOT A SOLDIER BUT A CIVIL SERVANT I CROSSED RIVER CONGO TO OTHER SIDE OF CONGO LIBREVILLE FROM THERE I MOVED TO THE THIRD COUNTRY GHANA WHERE I AM PRESENTLY TAKING REFUGE. 

AS A MATTER OF FACT, WHAT I URGENTLY NEEDED FROM YOU IS YOUR ASSISTANCE IN MOVING THIS MONEY INTO YOUR ACCOUNT IN YOUR COUNTRY FOR INVESTMENT WITHOUT RAISING EYEBROW. FOR YOUR ASSISTANCE I WILL GIVE YOU 20% OF THE TOTAL SUM AS YOUR OWN SHARE WHEN THE MONEY GETS TO YOUR ACCOUNT, WHILE 75% WILL BE FOR ME, OF WHICH WITH YOUR KIND ADVICE I HOPE TO INVEST IN PROFITABLE VENTURE IN YOUR COUNTRY IN OTHER TO SETTLE DOWN FOR MEANINGFUL LIFE, AS I AM TIRED OF LIVING IN A WAR ENVIRONMENT. 

THE REMAINING 5% WILL BE USED TO OFFSET ANY COST INCURRED IN THE CAUSE OF MOVING THE MONEY TO YOUR ACCOUNT. IF THE PROPOSAL IS ACCEPTABLE TO YOU PLEASE CONTACT ME IMMEDIATELY THROUGH THE ABOVE TELEPHONE AND E-MAIL, TO ENABLE ME ARRANGE FACE TO FACE MEETING WITH YOU IN GHANA FOR THE CLEARANCE OF THE FUNDS BEFORE TRANSFRING IT TO YOUR BANK ACCOUNT AS SEEING IS BELIEVING. 

FINALLY, IT IS IMPORTANT ALSO THAT I LET YOU UNDERSTAND THAT THERE IS NO RISK INVOLVED WHATSOEVER AS THE MONEY HAD NO RECORD IN KINSHASA FOR IT WAS MEANT FOR THE PERSONAL USE OF (MR. PRESIDEND ) BEFORE THE NEFARIOUS INCIDENT OCCURRED, AND ALSO I HAVE ALL THE NECESSARY DOCUMENTS AS REGARDS TO THE FUNDS INCLUDING THE (CERTIFICATE OF DEPOSIT), AS I AM THE DEPOSITOR OF THE CONSIGNMENT.


LOOKING FORWARD TO YOUR URGENT RESPONSE.

YOUR SINCERELY,

MR. JAMES NGOLA. ",Phishing
URGENT ASSISTANCE /RELATIONSHIP (P),"Dear Friend,

I am Mr. Ben Suleman a custom officer and work as Assistant controller of the Customs and Excise department Of the Federal Ministry of Internal Affairs stationed at the Murtala Mohammed International Airport, Ikeja, Lagos-Nigeria.

After the sudden death of the former Head of state of Nigeria General Sanni Abacha on June 8th 1998 his aides and immediate members of his family were arrested while trying to escape from Nigeria in a Chartered jet to Saudi Arabia with 6 trunk boxes Marked ""Diplomatic Baggage"". Acting on a tip-off as they attempted to board the Air Craft,my officials carried out a thorough search on the air craft and discovered that the 6 trunk boxes contained foreign currencies amounting to US$197,570,000.00(One Hundred and  Ninety-Seven Million Five Hundred Seventy Thousand United States Dollars).

I declared only (5) five boxes to the government and withheld one (1) in my custody containing the sum of (US$30,000,000.00) Thirty Million United States Dollars Only, which has been disguised to prevent their being discovered during transportation process.Due to several media reports on the late head of state about all the money him and his co-government officials stole from our government treasury amounting
to US$55 Billion Dollars (ref:ngrguardiannews.com) of July 2nd 1999. Even the London times of July 1998 reported that General Abacha has over US$3.Billion dollars in one account overseas. We decided to conceal this one (1)box till the situation is calm and quite on the issue. The box was thus deposited with a security company here in Nigeria and tagged as ""Precious Stones and Jewellry"" in other that its
content will not be discovered. Now that all is calm, we (myself and two of my colleagues in the operations team) are now ready to move this box out of the country through a diplomatic arrangement which is the safest means. 

However as government officials the Civil Service Code of Conduct does not allow us by law to operate any foreign account or own foreign investment and the amount of money that can be found in our account
cannot be more than our salary on the average, thus our handicapp and our need for your assistance to help collect and keep safely in your account this money.

Therefore we want you to assist us in moving this money out of Nigeria. We shall definitely compensate you handsomely for the assistance. We can do this by instructing the Security Company here in Nigeria to
move the consignment to their affiliate branch office outside Nigeria through diplomatic means and the consignment will be termed as Precious Stones and Jewelleries"" which you bought during your visit to Nigeria and is being transfered to your country from here for safe keeping. Then we can arrange to meet at the destination country to take the delivery of the consignment. You will thereafter open an account there and lodge the Money there and gradually instruct remittance to your Country. 

This business is 100% risk free for you so please treat this matter with utmost confidentiality .If you indicate your interest to assist us please just e-mail me for more Explanation on how we plan to execute the transaction.

Expecting your response urgently.

Best regards,

Mr. Ben Suleman",Phishing
GOOD DAY TO YOU,"FROM HIS ROYAL MAJESTY (HRM) CROWN RULER OF ELEME KINGDOM 
CHIEF DANIEL ELEME, PHD, EZE 1 OF ELEME.E-MAIL 
ADDRESS:obong_715@epatra.com  

ATTENTION:PRESIDENT,CEO Sir/ Madam. 

This letter might surprise you because we have met
neither in person nor by correspondence. But I believe
it is one day that you got to know somebody either in
physical or through correspondence. 

I got your contact through discreet inquiry from the
chambers of commerce and industry of your country on
the net, you and your organization were revealed as
being quite astute in private entrepreneurship, one
has no doubt in your ability to handle a financialbusiness transaction. 

However, I am the first son of His Royal
majesty,Obong.D. Eleme , and the traditional Ruler of
Eleme Province in the oil producing area of River
State of Nigeria. I am making this contact to you in
respect of US$60,000,000.00 (Sixty Million United
State Dollars), which I inherited, from my latefather. 

This money was accumulated from royalties paid to my
father as compensation by the oil firms located in our
area as a result of oil presence on our land, which
hamper agriculture, which is our major source oflivelihood. 

Unfortunately my father died from protracted
diabetes.But before his death he called my attention
and informed me that he lodged some funds on a two
boxes with a security firm with an open beneficiary
status. The lodgment security code number was also
revealed to me, he then advised me to look for a
reliable business partner abroad, that will assist me
in investing the money in a lucrative business as a
result of economic instability in Nigeria. So this is
the main reason why I am contacting you for us to move
this money from the security firm to any Country of
your choice for investment purpose. 

So I will like you to be the ultimate beneficiary, so
that the funds can be moved in your name and
particulars to any Country of your choice where it
will be claimed and invested. Hence my father have had
intimated the security firm personnel that the
beneficiary of the box is his foreign partner whose
particulars will be forwarded to the firm when due. 

But I will guide you Accordingly. As soon as the funds
reach, I will then come over to meet you in person, so
that we can discuss physically on investment
potentials. Based on this assistance my Family and I
have unanimously decided to give you 30% of the total
money, 5% for Charity home, 10% for expenses, which
may arise during this transaction, Fax and phone bills
inclusive. The balance of 55% you will invest andmanaged for my Family. 

I hereby guarantee you that this is not government
money, it is not drug money and it is not money from
arms deal. Though you have to maintain high degree of
confidentiality on this matter. I will give more
details about the proceedings of this transaction as
soon as I receive your favorable reply. 

Please reply to my Email Address:obong_715@epatra.com
I hope this will be the beginning of a prosperous
relationship between my family and your family. 

Nevertheless if you are for any reason not interested,
kindly inform me immediately so that I will look foranother contact. 

I am waiting for your quick response. 

Yours faithfully, 

Prince Obong Abbot ",Phishing
from Mrs.Johnson,"Goodday Dear


I know this mail will come to you as a surprise nevertheless I am Mrs Lydia Johnson aged 59 years
the wife of Major stephen johnson Chief Security Officer and Aide-decamp to the exiled president
Charles Tailor of Liberia  As a result of the on-going problem in my country I am saddled with
problems of my ill-health of protracted diabetes and high blood pressure which is getting of increase in
the recent times more importantly getting a trust worthy individual abroad to receive the sum of
US$7million on our behalf
Due to this war crises presently in my city Monrovia our home town I managed to sneak myself and my son
David 23 years of age and four other of my daughters out of Monrovia to Dakar senegal for safety We were
sneaked into Dakar Senegal through the land boarder by the help of some
government militant group After the killing of my husband by the
rebels we decided to come down here to Dakar senegal to secure the deposit in a
finance firm by my husband and to further look for a trust worthy
individual abroad to receive these deposit which has being deposited here in Dakar
Senegal before he was eventually killed by the heartless rebels I feel
confident therefore to introduce myself to you based on this problem and our present condition
as all our foreign contacts and connections got lost during this crises
all properties burnt by the rebels I am desperately in need to move and re-locate this huge deposit to your
country for safe keeping as this is the only wealth remaining for the future survival and well being of my large family
For your percentage for assistance a negotiable percentage will be
discussed as soon as I receive your response based on this plea for your
assistance as our lives are highly in danger due to this problem I pray and plead for your help You can email me back for
further clarifications God bless you as you respond to my plea for
assistance

Sincerely

yours

Mrs Lydia Johnson
",Phishing
Co-Operation,"FROM MR. GODWIN AKWESI
TEL: +233 208216645
FAX: +233 27621073
Before I introduce myself, I wish to inform you that this letter is not a
hoax mail and I urge you to treat it serious. This letter must come to you
as a big surprise, but I believe it is only a day that people meet and
become great friends and business partners.
My name is Mr. Godwin Akwesi, the present branch Manager of a bank here in
Ghana. I write you this proposal in good faith, believing that I can trust
you with the information I am about to reveal to you. Like I said, I have
a transaction that will benefit both of us, as your assistance is required
as a foreigner. I use to head the Accounts department in my bank head
office, but last December I was asked to take position of a Manager of our
branch in Kumasi who passed on, so that was how I became the present
Manager and discovered a fortune. As I resumed duty, I discovered an
account with total sum of $12,500,000 million that has not been operated
on for the past 4 years. From my investigation, I found out that this
account belongs to one Late Mr. Morris Thompson an American great
industrialist and a resident of Alaska, who unfortunately lost his life in
the plane crash of Alaska Airlines Flight 261 which crashed on January 31
2000, including his wife and only daughter.
You shall read more news about the crash on visiting this site which I got
during my investigation;
<http://www.cnn.com/2000/US/02/01/alaska.airlines.list/> and
//www.nativefederation.org/history/people/mThompson.html
The account is escrow call account, a secret type of account in my bank
and no other person knows about this account or any thing concerning it,
the account has no other beneficiary. I have kept a close monitoring of
the account since then and nobody has come forward to ask about the money
as next of kin to the late Mr. Morris Thompson, meaning that no one is
aware of the account.
I cannot directly take out this money without the help of a foreigner and
that is why I am contacting you for an assistance to claim the funds and
share it with me. As the Manager of my bank branch, I have the power to
influence the release of the funds to any foreigner that comes up as the
next of kin to the account, with the correct information concerning the
account, which I shall give you.
I am seeking your co-operation to present you as the next of kin to the
account, so that my bank head quarters will release the funds to you.
There is practically no risk involved, the transaction will be executed
under a legitimate arrangement that will protect you from any breach of
law.
If you accept to work with me, I want you to state how you wish us to
share the funds in percentage, so that both parties will be satisfied.
Contact me as soon as you receive this message if you feel we can work
together, so we can go over the details.
Thanking you in advance and may God bless you.
Please, treat with utmost confidentiality. I wait your urgent response.
You can as well contact me by phone the number is +233208216645.
Regards,
Mr. Godwin Akwesi.",Phishing
With Regard,"Good day to you.

I have a profiling amount of 56 Million United States Dollars secured in an 
offshore private bank. I am seeking your assistance in securing these funds 
into a safe account for future investment purposes but requiring maximum 
confidentiality. This is bourne out of the fact that I am still in active 
service in the Ministry here in Scotland-UK.

Upon your positive response to my proposal, I will provide you with the 
following information:

* How I will introduce you/yourcompany to the holding bank and make you the 
beneficiary of the money.

* Who I am and why I have decided to sought for your assistance.

* What percentage of the money I am willing to give you for your assistance.

Kindly respond with your private phone and fax numbers for easier and faster 
communication.

Micheal Smith",Phishing
ATTENTION PLEASE,"Attention please,
 
Good day and God bless you. It is with deep sence of commitment, faith an
d
trust that I make this confidential risk free business proposal to  you
for your assistance. I am deeply sorry if I have in any manner disturbed
your privacy.
 
I am Mr.Mohamed Yussuf the head of the Audit Department of Continental 
Bank in Cotonou Benin Republic. Recently, I discovered a domant account
with a huge amount of money which amounted to USD15.500,154.22 (fifteen
million, five hundred thousand, one hundred and fifty four  dollars, twen
ty
two cents) that belongs to one of our numerouse customers MR.PIERE  JOHNSON
from Germany who happened to die in a ghastly motor accident few years ago.
During the period of my investigation I discovered that the deceased left

no will and nobody behind to come for the claim of this fund as his next
of kin. Since then I have made several inquiries to see if I can locate
any of the deceased relatives but all efforts have proved unsuccessful.


Therefore, I decided to contact you to assist me put up claim to this fun
d
with this bank as the deceased next of kin for the claim of the fund. I
want to also bring to your notice that as the Head of the Audit Departmen
t
of this bank that this fund will be paid to you directly into your accoun
t
from our affiliate bank in Madrid Spain which is the CITY BANK ON LINE bu
t
we have to obtain the approval from our bank here which is the Continenta
l
Bank of Benin and after the approval has been obtained, they will instruc
t
our affiliate bank in Madrid Spain to effect the transfer of the fund int
o
your account. Be also informed that I have with me all the necessory info
rmation
of the deceased which will help us claim the fund successfuly.
 
Your positive response to this proposal will be highly appreciated and I
will futher give you the details of how you shall present the claim from
this bank. Feel free to call me on my private number (229) 28 30 63 for
any question you may wish to ask me.
 
Anticipating your urgent reply.
 
Regards,
Mr.Mohamed Yussuf.

",Phishing
FROM MISS VICTORIA,"Hello Dearest One

I am writting this letter with due respect and heartful of tears since we have not known or met ourselves previously I am asking for your assistance after I have gone through my search and find your contact eamil I believe  that you are capable to assiste me

 I will be so glad if you can allow and lead me to the right channel towards your assistance to my situation now I will make my proposal well known if I am given the opportunity I would like to use this opportunity to introduce myself to you

I am Victoria Karegaye 22years old girl from Rwanda and I know that this proposal might be a surprise to you but do consider it as an emmergencyIn nutshell My late father DrMichael Kagame Karegaye was the managing and director of Royal Dimaond COMPANY KIGALI the capital of Rwanda But he was killed along side with my mother during the longing civil war and all his properties was totally destroyed However after their death I managed to escape with a very important document DEPOSIT CERTIFICATE that he made on my Name in a bank which I will tell you the amount when I recive your reply

Now I have formaly claim the money with all relevent Document filed by my father and after seriess of inquiry and investigation into my application the Bank approved my claim but due to the new international Banking monetary policylaws does not allow a person with refugee status to operate Bank account and since I am on runhidding for my Dear life

I have been advice to look for a trusth worthy foreign person contact who help me make this claim on my behalffor this is reason I decided to contact you if you can make up your time and your mind to contact the Bank
I will furnish you will all the document about this transaction and tell you more of the deatils when I hear from you
Thnaks for giveing out your time to read my proposal as am waiting to hear from you
Have a gooday
yours Victoria
",Phishing
FROM MRS.COMFORT SOMBA.,"
Dearest 

I am Mrs Comfort Somba from India I am married to Late Mr Daniel Somba who worked with India embassy in Ivory Coast for nine years before he died in the year 2001 We were married for eleven years without a child He died after a brief illness that lasted for only four days 

Since his death I decided not to remarry or get a child outside my matrimonial home which the Bible is against When my late husband was alive he deposited the sum of $55Million 28Five Million Five Hundred Thousand US Dollars in one of the Security Company here in Abidjan 

Recently my Doctor told me that I have serious sickness which is cancer problem The one that disturbs me most is my stroke sickness Having known my condition I decided to donate this fund to a church or individual that will utilize it the way I am going to instruct herein 

I want a God fearing person that will use this fund for orphanage Homes widows propagating the word of God and to endeavour that the house of God is maintained The Bible made us to understand that Blessed is the hand that gives I took this decision because I don't have any child that will inherit this money and I don' t want my husband's efforts to be wasted or abandoned or a situation where this money will be used in an ungodly way 

Due to my health conditions I have forwarded all the necessary documents required for this fund released to the Security Company and also an Authority Letter Directing the Security Company to release this deposited family treasure to you as soon as you Identify yourself to the Security Company as the deposited family treasures recipient 

Kindly contact the Security Company and request for this deposited family treasure as I have directed you

Hoping to receive your reply Immediately 
Yours in Christ 
Mrs Comfort Somba",Phishing
transaction,"Dear Friend

I am Barrister jim douglas a Solicitor and Advocate the personal 
attorney to late Mr Neil Frazer a National of France who used to be a 
private contractor with the Shell Petroleum Development Company in 
Senegal herein after shall be referred to as my client On the 21st 
of April 2001 he and his wife with their three children were involved 
in an auto crash all occupants of the vehicle unfortunately lost their 
lives

Since then I have made several enquiries with his country's embassies 
to locate any of my clients extended relatives This has proved 
unsuccessful After these several unsuccessful attempts I decided to contact 
you with this business partnership proposal I have contacted you to 
assist in repatriating a huge amount of money left behind by my client 
before they get confiscated or declared unserviceable by the 
FinanceSecurity Company where this huge deposit was lodged The deceased had a 
deposit valued presently at $21million US Dollars and the Company has 
issued me a notice to provide his next of kin or Beneficiary by Will 
otherwise have the account confiscated within the next thirty official 
working days

Since I have been unsuccessful in locating the relatives for over 2 
Years now I seek your consent to present you as the next of kin  Will 
Beneficiary to the deceased so that the proceeds of this account valued 
at $21Million US dollars can be paid to you This will be disbursed or 
shared in these percentages 60% to me and 40% to you
I have all necessary legal documents that can be used to back up any 
claim we may make All I require is your honest Co-operation 
Confidentiality and Trust to enable us see this transaction through

I guarantee you that this will be executed under a legitimate 
arrangement that will protect you from any breach of the law Please 
get in touch with me urgently by E-mail barjim123yahoocom mailtobarjim123yahoocom I am 
presently in Dakar 
Please provide me the following
1 Full Name
2 Your Telephone Number and Fax Number
3 Your Contact Address

Your urgent response will be highly anticipated and appreciated
Best regards

Truly yours",Phishing
